日期時間,貼文ID,內容,關注數,表情反應,瀏覽數,地區,年齡,性別,主題標籤
2025-08-26 07:18:31,T071831000,關於農業發展問題的討論，大家覺得如何？,172,👍127 👎43 😡30,9150,新北市,32,女,#農業發展
2025-08-26 21:28:31,T212831001,關於文化保存工作的討論，大家覺得如何？,336,👍197 👎20 😡19,5283,新北市,51,男,#文化保存
2025-08-26 16:05:31,T160531002,關於教育改革議題的討論，大家覺得如何？,274,👍125 👎18 😡22,3717,台北市,48,女,#教育改革
2025-08-26 17:12:31,T171231003,關於環保政策執行的討論，大家覺得如何？,118,👍48 👎44 😡21,6777,台南市,58,男,#環保政策
2025-08-26 23:47:31,T234731004,關於社會福利制度的討論，大家覺得如何？,371,👍23 👎19 😡2,1945,新竹市,46,女,#社會福利
2025-08-26 14:37:31,T143731005,關於交通建設進度的討論，大家覺得如何？,129,👍78 👎18 😡8,2473,台中市,59,男,#交通建設
2025-08-26 14:20:31,T142031006,關於經濟民生問題的討論，大家覺得如何？,266,👍194 👎11 😡8,8165,台中市,48,女,#經濟民生
2025-08-27 02:40:31,T024031007,關於醫療資源分配的討論，大家覺得如何？,277,👍49 👎33 😡20,2492,台南市,28,女,#醫療資源
2025-08-26 16:38:31,T163831008,關於勞工權益保障的討論，大家覺得如何？,379,👍23 👎38 😡29,2024,新竹市,32,男,#勞工權益
2025-08-26 08:46:31,T084631009,關於環保政策執行的討論，大家覺得如何？,214,👍138 👎41 😡25,9563,基隆市,44,男,#環保政策
2025-08-26 10:23:31,T102331010,關於勞工權益保障的討論，大家覺得如何？,413,👍86 👎15 😡27,8602,新北市,30,女,#勞工權益
2025-08-27 05:52:31,T055231011,關於農業發展問題的討論，大家覺得如何？,489,👍149 👎17 😡19,3281,桃園市,56,男,#農業發展
2025-08-26 09:13:31,T091331012,關於經濟民生問題的討論，大家覺得如何？,398,👍60 👎18 😡22,1593,新北市,59,男,#經濟民生
2025-08-26 11:49:31,T114931013,關於房屋政策討論的討論，大家覺得如何？,310,👍175 👎6 😡10,5214,桃園市,39,男,#房屋政策
2025-08-26 17:20:31,T172031014,關於社會福利制度的討論，大家覺得如何？,368,👍81 👎28 😡8,1946,台北市,49,女,#社會福利
2025-08-26 20:47:31,T204731015,關於經濟民生問題的討論，大家覺得如何？,246,👍89 👎8 😡18,1947,新北市,41,男,#經濟民生
2025-08-26 15:33:31,T153331016,關於勞工權益保障的討論，大家覺得如何？,410,👍28 👎16 😡25,3759,新北市,52,女,#勞工權益
2025-08-26 18:51:31,T185131017,關於房屋政策討論的討論，大家覺得如何？,439,👍158 👎46 😡4,9204,新竹市,48,女,#房屋政策
2025-08-26 07:24:31,T072431018,關於交通建設進度的討論，大家覺得如何？,58,👍174 👎37 😡7,7726,高雄市,43,女,#交通建設
2025-08-26 20:18:31,T201831019,關於政府新政策討論的討論，大家覺得如何？,212,👍94 👎20 😡18,6327,桃園市,54,女,#政府新政
