comment_count,created_time,emojis,hashtags,mentions,page_or_user_id,page_or_user_name,post_id,post_text,post_type,reaction_summary,share_count
1890,2024-11-15T09:30:00Z,"[""👩‍🏫"", ""📚"", ""💪""]","[""教師權益"", ""教育改革"", ""減輕負擔""]","[""@moe_taiwan""]",teachers_union_tw,台灣教師工會聯合會,fb_edu_001,教師的工作負擔越來越重，除了教學還要處理很多行政工作。希望政府能減輕教師負擔，讓我們專心教學。同時也要改善教師的薪資待遇和工作環境。 #教師權益 #教育改革 #減輕負擔,status,"{""like"": 8900, ""love"": 4560, ""haha"": 123, ""wow"": 234, ""sad"": 567, ""angry"": 345}",1234
2890,2024-11-15T11:45:00Z,"[""👨‍👩‍👧‍👦"", ""🎨"", ""⚽""]","[""多元教育"", ""適性發展"", ""教育選擇""]",[],parent_association,全國家長會聯盟,fb_edu_002,孩子的教育不能等！我們希望看到更多元的教育選擇，不要只有升學導向。技職教育、藝術教育、體育教育都應該受到重視。每個孩子都有不同的天賦，教育制度應該更有彈性。 #多元教育 #適性發展 #教育選擇,status,"{""like"": 12340, ""love"": 6780, ""haha"": 234, ""wow"": 456, ""sad"": 123, ""angry"": 89}",2340
3456,2024-11-15T14:20:00Z,"[""🎓"", ""💸"", ""📊""]","[""高等教育"", ""學費問題"", ""學貸負擔""]","[""@moe_taiwan""]",university_students_tw,台灣大學生聯合會,fb_edu_003,大學學費年年漲，但教學品質沒有相對提升。政府應該檢討高等教育的資源分配，確保學生能獲得物有所值的教育。同時也要解決學貸負擔過重的問題。 #高等教育 #學費問題 #學貸負擔,status,"{""like"": 15670, ""love"": 3450, ""haha"": 567, ""wow"": 890, ""sad"": 1234, ""angry"": 678}",2890
1560,2024-11-15T16:10:00Z,"[""🔧"", ""🏭"", ""💼""]","[""技職教育"", ""產學合作"", ""實用人才""]",[],vocational_schools,技職教育聯盟,fb_edu_004,技職教育是培養實用人才的重要管道，但長期被忽視。我們需要更多資源投入技職教育，提升設備和師資，讓技職生也能有好的出路。產學合作也需要更緊密。 #技職教育 #產學合作 #實用人才,status,"{""like"": 7890, ""love"": 4560, ""haha"": 123, ""wow"": 345, ""sad"": 234, ""angry"": 156}",1890
1890,2024-11-15T13:30:00Z,"[""❤️"", ""🤗"", ""🌈""]","[""特殊教育"", ""融合教育"", ""特教資源""]","[""@moe_taiwan""]",special_education_tw,特殊教育家長協會,fb_edu_005,特教孩子需要更多的關愛和專業支持。目前特教資源還是不足，師資培訓也需要加強。希望社會能給特教孩子更多理解和包容，讓他們也能快樂學習成長。 #特殊教育 #融合教育 #特教資源,status,"{""like"": 9870, ""love"": 8900, ""haha"": 45, ""wow"": 234, ""sad"": 456, ""angry"": 67}",1560
1340,2024-11-15T15:45:00Z,"[""🏫"", ""🌄"", ""⚖️""]","[""偏鄉教育"", ""教育平等"", ""城鄉差距""]",[],rural_education,偏鄉教育關懷協會,fb_edu_006,偏鄉學校面臨師資不足、設備老舊的問題。城鄉教育差距越來越大，政府應該投入更多資源縮小差距。每個孩子都應該有平等的受教權。 #偏鄉教育 #教育平等 #城鄉差距,status,"{""like"": 6780, ""love"": 5670, ""haha"": 89, ""wow"": 345, ""sad"": 890, ""angry"": 234}",1890
1230,2024-11-15T17:20:00Z,"[""💻"", ""📱"", ""🧠""]","[""數位教育"", ""數位素養"", ""教師培訓""]",[],digital_education_tw,數位教育推廣協會,fb_edu_007,數位時代來臨，教育也要跟上腳步。但不是有了平板電腦就是數位教育，更重要的是培養學生的數位素養和批判思考能力。老師也需要相關的培訓。 #數位教育 #數位素養 #教師培訓,status,"{""like"": 5670, ""love"": 3450, ""haha"": 234, ""wow"": 890, ""sad"": 123, ""angry"": 89}",890
1670,2024-11-15T10:15:00Z,"[""👶"", ""🎈"", ""📚""]","[""幼兒教育"", ""幼教品質"", ""幼教老師""]","[""@moe_taiwan""]",preschool_education,幼兒教育聯盟,fb_edu_008,幼兒教育是教育的根基，但幼教老師的薪資待遇普遍偏低，流動率高。政府應該重視幼教品質，提升幼教老師的地位和待遇。好的幼教是投資未來。 #幼兒教育 #幼教品質 #幼教老師,status,"{""like"": 8900, ""love"": 6780, ""haha"": 123, ""wow"": 234, ""sad"": 345, ""angry"": 156}",1340
890,2024-11-15T18:40:00Z,"[""📖"", ""🎯"", ""🚀""]","[""終身學習"", ""成人教育"", ""職業訓練""]",[],lifelong_learning_tw,終身學習促進會,fb_edu_009,學習不應該只限於學校階段，終身學習才能跟上時代變化。政府應該提供更多成人教育和職業訓練的機會，讓每個人都能持續成長。 #終身學習 #成人教育 #職業訓練,status,"{""like"": 4560, ""love"": 3450, ""haha"": 156, ""wow"": 345, ""sad"": 89, ""angry"": 67}",670
1450,2024-11-15T12:25:00Z,"[""🌍"", ""🗣️"", ""🤝""]","[""國際教育"", ""雙語教育"", ""跨文化理解""]",[],international_education,國際教育交流協會,fb_edu_010,全球化時代，國際教育交流很重要。但不只是出國留學，更要培養學生的國際視野和跨文化理解能力。雙語教育政策需要更完善的規劃和執行。 #國際教育 #雙語教育 #跨文化理解,status,"{""like"": 6780, ""love"": 4560, ""haha"": 234, ""wow"": 567, ""sad"": 123, ""angry"": 89}",1120
