comment_count,created_time,emojis,hashtags,mentions,page_or_user_id,page_or_user_name,post_id,post_text,post_type,reaction_summary,share_count
2340,2024-11-15T10:00:00Z,"[""👍"", ""🇹🇼"", ""💪""]","[""施政成果"", ""繼續前進"", ""台灣加油""]","[""@taiwan_government""]",candidate_a_official,候選人A官方粉絲頁,fb_001,感謝大家對我們施政的支持！過去四年我們在經濟發展、基礎建設、社會福利等方面都有顯著成果。讓我們繼續攜手前進，為台灣創造更美好的未來！ #施政成果 #繼續前進 #台灣加油,status,"{""like"": 15420, ""love"": 8930, ""haha"": 234, ""wow"": 567, ""sad"": 123, ""angry"": 89}",1890
3456,2024-11-15T14:30:00Z,"[""🔥"", ""✊"", ""🌟""]","[""改革台灣"", ""青年政策"", ""長者照顧""]",[],candidate_b_official,候選人B競選總部,fb_002,台灣需要改變！年輕人面臨高房價、低薪資的困境，長者擔心退休保障不足。我們提出全面的改革方案，要讓每個台灣人都能過上更好的生活！ #改革台灣 #青年政策 #長者照顧,status,"{""like"": 18750, ""love"": 12340, ""haha"": 456, ""wow"": 890, ""sad"": 234, ""angry"": 156}",2890
1890,2024-11-15T20:00:00Z,"[""📊"", ""🗳️"", ""📺""]","[""民調"", ""選情分析""]","[""@candidate_a_official"", ""@candidate_b_official""]",political_news_tw,台灣政治新聞,fb_003,【最新民調】根據本台委託進行的民調顯示，候選人A支持度48%，候選人B支持度45%，未決定選民7%。選情依然膠著，關鍵在於最後階段的表現。 #民調 #選情分析,link,"{""like"": 5670, ""love"": 890, ""haha"": 234, ""wow"": 1230, ""sad"": 345, ""angry"": 567}",890
2890,2024-11-15T16:45:00Z,"[""🗳️"", ""✊"", ""🔥""]","[""青年投票"", ""未來在我手中""]",[],young_voters_tw,台灣青年選民聯盟,fb_004,青年朋友們！這次選舉攸關我們的未來，不要讓別人決定你的命運。11月26日記得去投票，用選票為自己發聲！ #青年投票 #未來在我手中,status,"{""like"": 12340, ""love"": 6780, ""haha"": 123, ""wow"": 456, ""sad"": 89, ""angry"": 67}",4560
1560,2024-11-15T11:20:00Z,"[""👴"", ""👵"", ""❤️""]","[""長者權益"", ""銀髮政策""]","[""@candidate_a_official"", ""@candidate_b_official""]",senior_citizens_tw,銀髮族關懷協會,fb_005,長者的聲音也很重要！我們經歷過台灣的發展歷程，希望候選人能重視長者的需求，包括醫療照護、退休保障等議題。 #長者權益 #銀髮政策,status,"{""like"": 8900, ""love"": 5670, ""haha"": 89, ""wow"": 234, ""sad"": 456, ""angry"": 123}",1230
890,2024-11-15T13:15:00Z,"[""💰"", ""📈"", ""🤔""]","[""經濟政策"", ""政策比較""]",[],economic_forum_tw,台灣經濟論壇,fb_006,【經濟政策比較】兩位候選人的經濟政策各有特色：候選人A強調穩定發展，候選人B主打創新改革。選民應該根據自己的需求做出選擇。 #經濟政策 #政策比較,link,"{""like"": 3450, ""love"": 890, ""haha"": 156, ""wow"": 567, ""sad"": 234, ""angry"": 345}",567
1340,2024-11-15T15:30:00Z,"[""🌍"", ""🌱"", ""♻️""]","[""環保政策"", ""氣候變遷"", ""綠色經濟""]",[],environmental_tw,台灣環保聯盟,fb_007,氣候變遷是全球議題，台灣也不能置身事外。希望未來的領導人能重視環保政策，推動綠色經濟轉型。 #環保政策 #氣候變遷 #綠色經濟,status,"{""like"": 6780, ""love"": 4560, ""haha"": 89, ""wow"": 345, ""sad"": 567, ""angry"": 123}",890
2340,2024-11-15T12:45:00Z,"[""💪"", ""⚖️"", ""🏭""]","[""勞工權益"", ""薪資政策""]","[""@candidate_a_official"", ""@candidate_b_official""]",labor_union_tw,台灣勞工聯盟,fb_008,勞工是社會的基石，我們的權益需要被保障。希望候選人能提出具體的勞工政策，改善工作環境和薪資待遇。 #勞工權益 #薪資政策,status,"{""like"": 9870, ""love"": 3450, ""haha"": 123, ""wow"": 234, ""sad"": 456, ""angry"": 789}",1560
1890,2024-11-15T17:20:00Z,"[""📚"", ""🎓"", ""🌟""]","[""教育政策"", ""教育改革""]",[],education_reform_tw,教育改革聯盟,fb_009,教育是國家的根本，我們需要更好的教育政策來培養下一代。無論是技職教育還是高等教育，都需要與時俱進。 #教育政策 #教育改革,status,"{""like"": 7890, ""love"": 4560, ""haha"": 156, ""wow"": 345, ""sad"": 234, ""angry"": 123}",1230
1340,2024-11-15T18:10:00Z,"[""🏥"", ""💊"", ""❤️""]","[""健保政策"", ""醫療改革""]",[],healthcare_tw,台灣醫療改革基金會,fb_010,健保制度是台灣的驕傲，但面臨人口老化和醫療成本上升的挑戰。需要更永續的醫療政策來維持制度運作。 #健保政策 #醫療改革,status,"{""like"": 5670, ""love"": 3450, ""haha"": 89, ""wow"": 234, ""sad"": 456, ""angry"": 234}",890
