日期時間,文章ID,標題,內容摘要,推文數,噓文數,瀏覽數,地區,年齡,性別,看板
2025-08-26 04:42:23,P044223000,[環保] 空氣品質改善方案,關於 空氣品質改善方案的詳細討論內容...,149,4,3408,桃園市,42,女,HatePolitics
2025-08-26 00:23:23,P002323001,[環保] 空氣品質改善方案,關於 空氣品質改善方案的詳細討論內容...,24,0,2796,台中市,44,男,HatePolitics
2025-08-25 18:39:23,P183923002,[討論] 教育改革的影響,關於 教育改革的影響的詳細討論內容...,175,34,2281,基隆市,54,女,Gossiping
2025-08-25 10:14:23,P101423003,[討論] 教育改革的影響,關於 教育改革的影響的詳細討論內容...,74,30,4438,台中市,50,男,Gossiping
2025-08-25 09:04:23,P090423004,[問卦] 政府政策到底有沒有效？,關於 政府政策到底有沒有效？的詳細討論內容...,47,26,4807,台中市,39,男,HatePolitics
2025-08-25 04:52:23,P045223005,[討論] 教育改革的影響,關於 教育改革的影響的詳細討論內容...,41,14,1598,新竹市,23,女,Politics
2025-08-26 03:54:23,P035423006,[新聞] 最新經濟數據出爐,關於 最新經濟數據出爐的詳細討論內容...,193,13,1880,桃園市,35,女,PublicServan
2025-08-26 14:36:23,P143623007,[問卦] 政府政策到底有沒有效？,關於 政府政策到底有沒有效？的詳細討論內容...,152,33,3481,台南市,45,女,Salary
2025-08-25 06:43:23,P064323008,[討論] 教育改革的影響,關於 教育改革的影響的詳細討論內容...,38,41,1250,台北市,52,男,HatePolitics
2025-08-26 23:38:23,P233823009,[環保] 空氣品質改善方案,關於 空氣品質改善方案的詳細討論內容...,40,19,3020,新竹市,25,男,home-sale
2025-08-26 09:01:23,P090123010,[勞工] 薪資成長停滯,關於 薪資成長停滯的詳細討論內容...,172,34,580,新北市,48,女,PublicServan
2025-08-26 22:16:23,P221623011,[醫療] 健保制度檢討,關於 健保制度檢討的詳細討論內容...,89,36,1347,台北市,36,男,PublicServan
2025-08-25 19:51:23,P195123012,[討論] 教育改革的影響,關於 教育改革的影響的詳細討論內容...,49,4,4045,高雄市,52,男,Salary
2025-08-26 22:58:23,P225823013,[問卦] 政府政策到底有沒有效？,關於 政府政策到底有沒有效？的詳細討論內容...,42,42,599,新竹市,24,男,home-sale
2025-08-25 19:26:23,P192623014,[抱怨] 交通建設進度太慢,關於 交通建設進度太慢的詳細討論內容...,65,18,4884,台北市,48,男,Politics
2025-08-26 04:17:23,P041723015,[討論] 教育改革的影響,關於 教育改革的影響的詳細討論內容...,145,30,3324,台中市,38,女,home-sale
2025-08-27 00:54:23,P005423016,[環保] 空氣品質改善方案,關於 空氣品質改善方案的詳細討論內容...,133,23,3283,台中市,40,女,Gossiping
2025-08-26 15:09:23,P150923017,[新聞] 最新經濟數據出爐,關於 最新經濟數據出爐的詳細討論內容...,81,48,3231,台中市,23,女,Politics
2025-08-26 14:57:23,P145723018,[抱怨] 交通建設進度太慢,關於 交通建設進度太慢的詳細討論內容...,144,21,4507,桃園市,41,男,home-sale
2025-08-25 16:21:23,P162123019,[新聞] 最新經濟數據出爐,關於 最新經濟數據出爐的詳細討論內容...,104,7,605,台中市,41,男,Gossiping
2025-08-25 12:31:23,P123123020,[環保] 空氣品質改善方案,關於 空氣品質改善方案的詳細討論內容...,87,34,3500,新竹市,43,女,HatePolitics
2025-08-27 02:18:23,P021823021,[新聞] 最新經濟數據出爐,關於 最新經濟數據出爐的詳細討論內容...,156,6,1795,新北市,24,女,home-sale
2025-08-25 19:01:23,P190123022,[勞工] 薪資成長停滯,關於 薪資成長停滯的詳細討論內容...,76,33,1681,新北市,40,男,Salary
2025-08-25 16:43:23,P164323023,[醫療] 健保制度檢討,關於 健保制度檢討的詳細討論內容...,110,1,4969,新竹市,18,男,Salary
2025-08-25 11:39:23,P113923024,[勞工] 薪資成長停滯,關於 薪資成長停滯的詳細討論內容...,172,17,3562,新北市,29,女,Gossiping
