日期時間,貼文ID,內容,關注數,表情反應,瀏覽數,地區,年齡,性別,主題標籤
2025-08-26 08:50:49,T085049000,關於社會福利制度的討論，大家覺得如何？,190,👍151 👎47 😡7,8624,桃園市,42,女,#社會福利
2025-08-27 05:18:49,T051849001,關於文化保存工作的討論，大家覺得如何？,99,👍92 👎40 😡25,6524,新竹市,21,男,#文化保存
2025-08-26 18:39:49,T183949002,關於勞工權益保障的討論，大家覺得如何？,197,👍75 👎34 😡25,1326,台中市,23,男,#勞工權益
2025-08-27 03:24:49,T032449003,關於勞工權益保障的討論，大家覺得如何？,172,👍67 👎33 😡21,1861,基隆市,38,女,#勞工權益
2025-08-27 01:59:49,T015949004,關於文化保存工作的討論，大家覺得如何？,148,👍194 👎22 😡6,2983,台中市,34,女,#文化保存
2025-08-27 03:27:49,T032749005,關於勞工權益保障的討論，大家覺得如何？,450,👍176 👎36 😡12,3809,台南市,38,男,#勞工權益
2025-08-26 10:42:49,T104249006,關於教育改革議題的討論，大家覺得如何？,270,👍141 👎10 😡2,9182,基隆市,28,女,#教育改革
2025-08-26 13:20:49,T132049007,關於勞工權益保障的討論，大家覺得如何？,443,👍48 👎47 😡18,5730,基隆市,38,女,#勞工權益
2025-08-26 09:10:49,T091049008,關於政府新政策討論的討論，大家覺得如何？,273,👍99 👎8 😡5,4668,新北市,27,女,#政府新政
2025-08-26 17:23:49,T172349009,關於房屋政策討論的討論，大家覺得如何？,144,👍39 👎34 😡6,2671,台南市,26,女,#房屋政策
2025-08-26 16:24:49,T162449010,關於政府新政策討論的討論，大家覺得如何？,322,👍54 👎8 😡3,5330,基隆市,42,女,#政府新政
2025-08-26 07:13:49,T071349011,關於教育改革議題的討論，大家覺得如何？,282,👍51 👎37 😡11,9792,台中市,47,女,#教育改革
2025-08-26 09:51:49,T095149012,關於經濟民生問題的討論，大家覺得如何？,463,👍179 👎46 😡18,9630,基隆市,31,男,#經濟民生
2025-08-26 18:28:49,T182849013,關於環保政策執行的討論，大家覺得如何？,165,👍33 👎43 😡17,9807,台中市,39,女,#環保政策
2025-08-26 06:33:49,T063349014,關於農業發展問題的討論，大家覺得如何？,449,👍152 👎6 😡1,7680,新竹市,22,男,#農業發展
2025-08-26 13:55:49,T135549015,關於環保政策執行的討論，大家覺得如何？,353,👍84 👎13 😡0,7545,新竹市,51,女,#環保政策
2025-08-26 12:07:49,T120749016,關於文化保存工作的討論，大家覺得如何？,496,👍113 👎6 😡8,6706,基隆市,21,女,#文化保存
2025-08-26 09:13:49,T091349017,關於環保政策執行的討論，大家覺得如何？,233,👍191 👎44 😡13,3164,新北市,27,女,#環保政策
2025-08-26 19:18:49,T191849018,關於政府新政策討論的討論，大家覺得如何？,496,👍163 👎10 😡15,4945,台中市,38,男,#政府新政
2025-08-26 10:00:49,T100049019,關於經濟民生問題的討論，大家覺得如何？,382,👍142 👎25 😡3,5343,台北市,58,男,#經濟民生
