author_followers_count,author_id,author_name,author_username,created_time,emojis,hashtags,like_count,mentions,post_id,post_text,quote_count,reply_count,repost_count
45000,econ_expert_tw,經濟學者陳教授,@econ_expert_tw,2024-11-15T09:30:00Z,"[""📊"", ""💰"", ""🤔""]","[""經濟政策"", ""GDP"", ""通膨""]",1250,"[""@taiwan_gov""]",threads_001,最新GDP數據顯示台灣經濟成長率達3.2%，但通膨壓力仍然存在。政府應該如何平衡經濟成長與物價穩定？ #經濟政策 #GDP #通膨,67,89,234
890,young_voter_123,小明,@young_voter_123,2024-11-15T14:22:00Z,"[""🏠"", ""😭"", ""💸""]","[""住房政策"", ""青年議題""]",2890,[],threads_002,房價這麼高，薪水卻沒漲多少，年輕人怎麼買得起房？希望候選人能提出實際的住房政策！ #住房政策 #青年議題,234,456,1234
78000,business_leader,企業家王總,@business_leader,2024-11-15T16:45:00Z,"[""🏭"", ""📈"", ""🤝""]","[""產業政策"", ""經濟轉型""]",567,"[""@ministry_economic""]",threads_003,政府的產業升級政策方向正確，但執行細節還需要更多與業界的溝通。建議成立產官學合作平台。 #產業政策 #經濟轉型,45,123,89
23000,labor_union_rep,工會代表李先生,@labor_union_rep,2024-11-15T11:15:00Z,"[""💪"", ""⚖️"", ""📢""]","[""基本工資"", ""勞工權益""]",1890,"[""@labor_ministry""]",threads_004,基本工資調整幅度不足以應對通膨壓力，勞工實質購買力持續下降。政府需要更積極的薪資政策！ #基本工資 #勞工權益,123,234,567
12000,startup_founder,新創創辦人張小姐,@startup_founder,2024-11-15T13:30:00Z,"[""🚀"", ""💡"", ""🌟""]","[""新創政策"", ""創業環境""]",890,[],threads_005,台灣的新創環境需要更多政策支持，特別是在稅務優惠和資金取得方面。韓國和新加坡都做得比我們好。 #新創政策 #創業環境,78,156,234
5600,senior_citizen,退休教師林老師,@senior_citizen,2024-11-15T10:20:00Z,"[""👴"", ""💰"", ""😟""]","[""退休金"", ""長者權益""]",1456,"[""@pension_fund""]",threads_006,退休金制度改革後，生活壓力增加不少。希望政府能考慮長者的實際需求，提供更完善的社會保障。 #退休金 #長者權益,89,289,345
34000,tech_analyst,科技分析師黃博士,@tech_analyst,2024-11-15T15:10:00Z,"[""💻"", ""⚡"", ""🔬""]","[""半導體"", ""產業多元化""]",2340,"[""@tsmc_official""]",threads_007,半導體產業是台灣經濟支柱，但過度依賴單一產業有風險。政府應該推動產業多元化發展。 #半導體 #產業多元化,156,345,678
18000,environmental_ngo,環保團體代表,@environmental_ngo,2024-11-15T12:45:00Z,"[""🌱"", ""🌍"", ""♻️""]","[""綠色經濟"", ""環保政策""]",1678,"[""@epa_taiwan""]",threads_008,經濟發展不能以犧牲環境為代價。綠色經濟才是未來的出路，政府應該加大綠能投資。 #綠色經濟 #環保政策,123,234,456
3400,small_business_owner,小店老闆娘,@small_business_owner,2024-11-15T17:30:00Z,"[""🏪"", ""😰"", ""🙏""]","[""小企業"", ""紓困政策""]",2890,[],threads_009,疫情後生意還沒完全恢復，政府的紓困政策幫助有限。希望能有更多針對小企業的支持措施。 #小企業 #紓困政策,234,567,890
56000,finance_expert,財經專家趙顧問,@finance_expert,2024-11-15T08:15:00Z,"[""📊"", ""⚖️"", ""💹""]","[""央行政策"", ""利率""]",1234,"[""@central_bank_tw""]",threads_010,央行升息政策雖然有助抑制通膨，但也可能影響經濟成長動能。政策制定需要更精準的平衡。 #央行政策 #利率,89,178,345
28000,trade_association,貿易協會秘書長,@trade_association,2024-11-16T09:20:00Z,"[""🚢"", ""🌏"", ""📈""]","[""貿易政策"", ""出口""]",890,"[""@moea_taiwan""]",threads_011,中美貿易戰對台灣出口造成衝擊，政府應該積極開拓新興市場，降低對單一市場的依賴。 #貿易政策 #出口,78,134,267
8900,agriculture_farmer,農民阿伯,@agriculture_farmer,2024-11-16T06:30:00Z,"[""🌾"", ""👨‍🌾"", ""💰""]","[""農業政策"", ""農民權益""]",1567,"[""@coa_taiwan""]",threads_012,農產品價格波動太大，農民收入不穩定。政府應該建立更完善的農產品價格穩定機制。 #農業政策 #農民權益,123,234,456
15000,tourism_industry,觀光業者,@tourism_industry,2024-11-16T11:45:00Z,"[""✈️"", ""🏝️"", ""📸""]","[""觀光政策"", ""觀光復甦""]",2340,"[""@taiwan_tourism""]",threads_013,觀光業還在復甦階段，需要政府更多的行銷支持和基礎建設投資。台灣的觀光潛力還沒完全發揮。 #觀光政策 #觀光復甦,156,345,567
1200,university_student,大學生小華,@university_student,2024-11-16T14:20:00Z,"[""🎓"", ""💸"", ""😰""]","[""教育政策"", ""學貸""]",3456,[],threads_014,學貸利率雖然不高，但畢業後的就業市場競爭激烈，薪資成長有限。教育投資的回報率在下降。 #教育政策 #學貸,345,678,1234
6700,healthcare_worker,護理師小美,@healthcare_worker,2024-11-16T16:10:00Z,"[""👩‍⚕️"", ""🏥"", ""💊""]","[""醫療政策"", ""健保""]",2890,"[""@mohw_taiwan""]",threads_015,醫療人員薪資待遇需要改善，工作負荷過重。健保制度也需要檢討，才能維持醫療品質。 #醫療政策 #健保,234,456,789
19000,transportation_expert,交通專家,@transportation_expert,2024-11-16T13:30:00Z,"[""🚇"", ""🚌"", ""🌱""]","[""交通政策"", ""大眾運輸""]",1456,"[""@motc_taiwan""]",threads_016,大眾運輸系統需要更多投資，減少私人車輛使用。這不僅環保，也能改善交通壅塞問題。 #交通政策 #大眾運輸,123,234,456
8900,digital_nomad,數位遊牧工作者,@digital_nomad,2024-11-16T10:15:00Z,"[""💻"", ""🌐"", ""🏠""]","[""數位經濟"", ""遠距工作""]",1890,[],threads_017,遠距工作趨勢改變了就業型態，政府的勞動法規需要與時俱進，保障新型態工作者的權益。 #數位經濟 #遠距工作,134,267,456
25000,energy_analyst,能源分析師,@energy_analyst,2024-11-16T15:45:00Z,"[""⚡"", ""🌞"", ""💡""]","[""能源政策"", ""能源轉型""]",2340,"[""@taipower_tw""]",threads_018,能源轉型是必然趨勢，但過程中要確保供電穩定。核能、再生能源的配比需要更務實的規劃。 #能源政策 #能源轉型,234,456,678
12000,social_worker,社工師,@social_worker,2024-11-16T12:20:00Z,"[""🤝"", ""❤️"", ""🏠""]","[""社會政策"", ""社會安全網""]",1678,"[""@mohw_taiwan""]",threads_019,社會安全網需要更多資源投入，特別是弱勢族群的照顧。經濟發展的成果應該讓所有人受惠。 #社會政策 #社會安全網,123,234,456
34000,tax_accountant,會計師事務所,@tax_accountant,2024-11-16T17:30:00Z,"[""💰"", ""⚖️"", ""📊""]","[""稅制改革"", ""租稅公平""]",2890,"[""@mof_taiwan""]",threads_020,稅制改革應該更公平合理，減輕中產階級負擔。同時要防止富人避稅，確保稅收公平性。 #稅制改革 #租稅公平,234,456,789
