author_followers_count,author_id,author_name,author_username,created_time,emojis,hashtags,like_count,mentions,post_id,post_text,quote_count,reply_count,repost_count
12000,social_worker_tw,社工師小陳,@social_worker_tw,2024-11-15T09:15:00Z,"[""👴"", ""👵"", ""❤️""]","[""長照政策"", ""社會福利"", ""家庭照顧""]",1890,"[""@mohw_taiwan""]",threads_sw_001,長照2.0實施幾年了，但還是有很多家庭負擔沉重。政府應該增加預算，讓更多家庭受惠。 #長照政策 #社會福利 #家庭照顧,123,234,456
3400,single_parent,單親媽媽阿美,@single_parent,2024-11-15T11:30:00Z,"[""👩‍👧"", ""😰"", ""🙏""]","[""單親家庭"", ""托育政策"", ""生活補助""]",2890,[],threads_sw_002,單親家庭的補助真的不夠用，托育費用、生活費都很重。希望政府能理解我們的困難。 #單親家庭 #托育政策 #生活補助,234,456,789
18000,disability_advocate,身障權益倡議者,@disability_advocate,2024-11-15T14:20:00Z,"[""♿"", ""🤝"", ""🌈""]","[""身障權益"", ""無障礙環境"", ""社會包容""]",1567,[],threads_sw_003,無障礙環境還有很大改善空間，不只是硬體設施，更需要社會觀念的改變。 #身障權益 #無障礙環境 #社會包容,89,189,345
8900,elderly_care_worker,照服員小王,@elderly_care_worker,2024-11-15T16:45:00Z,"[""👩‍⚕️"", ""💪"", ""💰""]","[""照服員"", ""長照人力"", ""薪資待遇""]",2340,"[""@mohw_taiwan""]",threads_sw_004,照服員的工作很辛苦，薪資待遇卻不高。政府應該提升照護人員的地位和薪資。 #照服員 #長照人力 #薪資待遇,156,345,567
45000,child_welfare_ngo,兒童福利基金會,@child_welfare_ngo,2024-11-15T13:10:00Z,"[""👶"", ""🛡️"", ""❤️""]","[""兒童福利"", ""兒童保護"", ""貧困兒童""]",3456,[],threads_sw_005,兒童是國家的未來，但還有很多孩子生活在貧困中。我們需要更完善的兒童保護制度。 #兒童福利 #兒童保護 #貧困兒童,234,567,890
23000,mental_health_advocate,心理健康倡議者,@mental_health_advocate,2024-11-15T15:30:00Z,"[""🧠"", ""💚"", ""🤗""]","[""心理健康"", ""心理諮商"", ""精神醫療""]",2890,"[""@mohw_taiwan""]",threads_sw_006,心理健康同樣重要，但資源明顯不足。希望政府能增加心理諮商的補助和可近性。 #心理健康 #心理諮商 #精神醫療,189,456,678
6700,homeless_shelter,遊民收容所志工,@homeless_shelter,2024-11-15T17:20:00Z,"[""🏠"", ""🤝"", ""💼""]","[""遊民議題"", ""社會住宅"", ""就業輔導""]",1234,[],threads_sw_007,街友問題不只是住房問題，還涉及就業、醫療、心理支持。需要跨部門的整合服務。 #遊民議題 #社會住宅 #就業輔導,78,189,345
15000,senior_volunteer,銀髮志工團,@senior_volunteer,2024-11-15T10:40:00Z,"[""👴"", ""👵"", ""🌟""]","[""銀髮志工"", ""活躍老化"", ""社會參與""]",1890,[],threads_sw_008,長者也想貢獻社會，但缺乏適合的管道。政府應該創造更多銀髮族參與社會的機會。 #銀髮志工 #活躍老化 #社會參與,123,234,456
9800,food_bank_volunteer,食物銀行志工,@food_bank_volunteer,2024-11-15T12:50:00Z,"[""🍞"", ""🤝"", ""♻️""]","[""食物銀行"", ""食物浪費"", ""貧困救助""]",2340,[],threads_sw_009,食物浪費嚴重，但還有人吃不飽。食物銀行的概念應該更普及，政府可以給予更多支持。 #食物銀行 #食物浪費 #貧困救助,156,345,567
28000,indigenous_rights,原住民權益促進會,@indigenous_rights,2024-11-15T18:15:00Z,"[""🏔️"", ""🎭"", ""🌿""]","[""原住民權益"", ""文化保存"", ""部落發展""]",1567,"[""@cip_taiwan""]",threads_sw_010,原住民族的文化保存和經濟發展需要平衡，政府的政策應該更貼近族人的實際需求。 #原住民權益 #文化保存 #部落發展,123,234,456
